Brand,Model,Efficiency,PlugType,BodyStyle,Range
Volkswagen,ID.3 1st,171 Wh/km,Type 2 CCS,Hatchback,340 km
Tesla,Model X Performance,216 Wh/km,Type 2,SUV,440 km
Smart,EQ fortwo coupe,167 Wh/km,Type 2,Hatchback,100 km
Ford,Mustang Mach-E SR RWD,194 Wh/km,Type 2 CCS,SUV,360 km
Mercedes,EQV 300 Long,273 Wh/km,Type 2 CCS,SPV,330 km
Fiat,500e Hatchback,168 Wh/km,Type 2 CCS,Hatchback,250 km
Tesla,Cybertruck Single Motor,256 Wh/km,Type 2 CCS,Pickup,390 km
Audi,e-tron Sportback 50 quattro,219 Wh/km,Type 2 CCS,SUV,295 km
Skoda,Enyaq iV vRS,193 Wh/km,Type 2 CCS,SUV,400 km
Skoda,Enyaq iV 60,181 Wh/km,Type 2 CCS,SUV,320 km
Audi,e-tron S 55 quattro,270 Wh/km,Type 2 CCS,SUV,320 km
Smart,EQ fortwo cabrio,176 Wh/km,Type 2,Cabrio,95 km
Kia,e-Soul 64 kWh,175 Wh/km,Type 2 CCS,SUV,365 km
Nissan,Ariya e-4ORCE 87kWh,207 Wh/km,Type 2 CCS,Hatchback,420 km
Fiat,500e Convertible,168 Wh/km,Type 2 CCS,Cabrio,250 km
Volkswagen,ID.3 Pro Performance,171 Wh/km,Type 2 CCS,Hatchback,340 km
Kia,e-Soul 39 kWh,170 Wh/km,Type 2 CCS,SUV,230 km
Byton,M-Byte 72 kWh 2WD,222 Wh/km,Type 2 CCS,SUV,325 km
Nissan,Ariya 63kWh,191 Wh/km,Type 2 CCS,Hatchback,330 km
Audi,e-tron S Sportback 55 quattro,258 Wh/km,Type 2 CCS,SUV,335 km
Nissan,Ariya e-4ORCE 63kWh,194 Wh/km,Type 2 CCS,Hatchback,325 km
Nissan,Ariya e-4ORCE 87kWh Performance,232 Wh/km,Type 2 CCS,Hatchback,375 km
Byton,M-Byte 95 kWh 2WD,238 Wh/km,Type 2 CCS,SUV,400 km
